,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Unnamed: 11,Year_of_debut,Last_played,Country
455,['C Green '],2020-2024,28,43,5,1377,174,36.23,2,6,3,,2020,2024,AUS
456,['GP Swann '],2008-2013,60,76,14,1370,85,22.09,0,5,5,,2008,2013,ENG
457,['S Ramesh '],1999-2001,19,37,1,1367,143,37.97,2,8,3,,1999,2001,IND
458,['Wasim Bari '],1967-1984,81,112,26,1366,85,15.88,0,6,19,,1967,1984,PAK
459,['KG Viljoen '],1930-1949,27,50,2,1365,124,28.43,2,9,5,,1930,1949,SA
460,['J Dyson '],1977-1984,30,58,7,1359,127,26.64,2,5,4,,1977,1984,AUS
461,['DJ Richardson '],1992-1998,42,64,8,1359,109,24.26,1,8,7,,1992,1998,SA
462,['JM Anderson '],2003-2024,188,265,114,1353,81,8.96,0,1,34,,2003,2024,ENG
463,['WP Saha '],2010-2021,40,56,10,1353,117,29.41,3,6,6,,2010,2021,IND
464,['HL Collins '],1920-1926,19,31,1,1352,203,45.06,4,6,0,,1920,1926,AUS
465,['CR Ervine '],2011-2024,21,42,2,1344,160,33.6,3,5,2,,2011,2024,ZIM
466,['Javed Burki '],1960-1969,25,48,4,1341,140,30.47,3,4,3,,1960,1969,PAK
467,['BM Laird '],1979-1982,21,40,2,1341,92,35.28,0,11,2,,1979,1982,AUS
468,['L Vincent '],2001-2007,23,40,1,1332,224,34.15,3,9,4,,2001,2007,NZ
469,['OG Smith '],1955-1959,26,42,0,1331,168,31.69,4,6,8,,1955,1959,WI
470,['LRD Mendis '],1982-1988,24,43,1,1329,124,31.64,4,8,2,,1982,1988,SL
471,['AK Davidson '],1953-1963,44,61,7,1328,80,24.59,0,5,1,,1953,1963,AUS
472,['SS Das '],2000-2002,23,40,2,1326,110,34.89,2,9,3,,2000,2002,IND
473,['JS Solomon '],1958-1965,27,46,7,1326,100,34.0,1,9,7,,1958,1965,WI
474,['DJG Sammy '],2007-2013,38,63,2,1323,106,21.68,1,5,8,,2007,2013,WI
475,['RA Duff '],1902-1905,22,40,3,1317,146,35.59,2,6,0,,1902,1905,AUS
476,['N Boje '],2000-2006,43,62,10,1312,85,25.23,0,4,5,,2000,2006,SA
477,['PJ Cummins '],2011-2024,64,92,13,1312,64,16.6,0,3,13,,2011,2024,AUS
478,['G Fowler '],1982-1985,21,37,0,1307,201,35.32,3,8,3,,1982,1985,ENG
479,['DW Hookes '],1977-1985,23,41,3,1306,143,34.36,1,8,4,,1977,1985,AUS
480,['MDK Perera '],2014-2021,43,77,8,1303,95,18.88,0,7,14,,2014,2021,SL
481,['CA Davis '],1968-1973,15,29,5,1301,183,54.2,4,4,1,,1968,1973,WI
482,['BW Luckhurst '],1970-1974,21,41,5,1298,131,36.05,4,5,4,,1970,1974,ENG
483,['DR Jardine '],1928-1934,22,33,6,1296,127,48.0,1,10,2,,1928,1934,ENG
484,['JF Reid '],1979-1986,19,31,3,1296,180,46.28,6,2,4,,1979,1986,NZ
485,['RL Dias '],1982-1987,20,36,1,1285,109,36.71,3,8,2,,1982,1987,SL
486,['KS More '],1986-1993,49,64,14,1285,73,25.7,0,7,7,,1986,1993,IND
487,['JW Burke '],1951-1959,24,44,7,1280,189,34.59,3,5,0,,1951,1959,AUS
488,['A Shrewsbury snr '],1881-1893,23,40,4,1277,164,35.47,3,4,1,,1881,1893,ENG
489,['UC Hathurusingha '],1991-1999,26,44,1,1274,83,29.62,0,8,2,,1991,1999,SL
490,['JD Ryder '],2008-2011,18,33,2,1269,201,40.93,3,6,4,,2008,2011,NZ
491,['Shahriar Nafees '],2005-2013,24,48,0,1267,138,26.39,1,7,4,,2005,2013,BAN
492,['V Pollard '],1965-1973,32,59,7,1266,116,24.34,2,7,4,,1965,1973,NZ
493,['RF Surti '],1960-1969,26,48,4,1263,99,28.7,0,9,5,,1960,1969,IND
494,['M Muralidaran '],1992-2010,133,164,56,1261,67,11.67,0,1,33,,1992,2010,SL
495,['KAJ Roach '],2009-2024,84,134,27,1257,47,11.74,0,0,20,,2009,2024,WI
496,['DW Steyn '],2004-2019,93,119,27,1251,76,13.59,0,2,14,,2004,2019,SA
497,['GE Gomez '],1939-1954,29,46,5,1243,101,30.31,1,8,5,,1939,1954,WI
498,['HB Cameron '],1927-1935,26,45,4,1239,90,30.21,0,10,3,,1927,1935,SA
499,['J Da Silva '],2020-2024,33,59,9,1238,100,24.76,1,5,5,,2020,2024,WI
500,['G Giffen '],1881-1896,31,53,0,1238,161,23.35,1,6,5,,1881,1896,AUS
501,['Z Khan '],2000-2014,92,127,24,1231,75,11.95,0,3,29,,2000,2014,IND
502,['DG Phadkar '],1947-1959,31,45,7,1229,123,32.34,2,8,3,,1947,1959,IND
503,['DD Ebrahim '],2001-2005,29,55,1,1225,94,22.68,0,10,8,,2001,2005,ZIM
504,['CB Fry '],1896-1912,26,41,3,1223,144,32.18,2,7,3,,1896,1912,ENG
505,['S Wettimuny '],1982-1987,23,43,1,1221,190,29.07,2,6,5,,1982,1987,SL
506,['JN Gillespie '],1996-2006,71,93,28,1218,201,18.73,1,2,13,,1996,2006,AUS
507,['Haroon Rasheed '],1977-1983,23,36,1,1217,153,34.77,3,5,2,,1977,1983,PAK
508,['G Miller '],1976-1984,34,51,4,1213,98,25.8,0,7,5,,1976,1984,ENG
509,['VS Ransford '],1907-1912,20,38,6,1211,143,37.84,1,7,2,,1907,1912,AUS
510,['SA Durani '],1960-1973,29,50,2,1202,104,25.04,1,7,4,,1960,1973,IND
511,['DN Patel '],1987-1997,37,66,8,1200,99,20.68,0,5,10,,1987,1997,NZ
512,['MW Tate '],1924-1935,39,52,5,1198,100,25.48,1,5,5,,1924,1935,ENG
513,['AF Kippax '],1925-1934,22,34,1,1192,146,36.12,2,8,1,,1925,1934,AUS
514,['Agha Salman '],2022-2024,17,32,6,1191,132,45.8,3,9,2,,2022,2024,PAK
515,['JHW Fingleton '],1932-1938,18,29,1,1189,136,42.46,5,3,3,,1932,1938,AUS
516,['Sikandar Raza '],2013-2021,17,33,0,1187,127,35.96,1,8,3,,2013,2021,ZIM
517,['CP Mead '],1911-1928,17,26,2,1185,182,49.37,4,3,3,,1911,1928,ENG
518,['P Willey '],1976-1986,26,50,6,1184,102,26.9,2,5,2,,1976,1986,ENG
519,['SC Williams '],1994-2002,31,52,3,1183,128,24.14,1,3,6,,1994,2002,WI
520,['Abid Ali '],2019-2021,16,26,2,1180,215,49.16,4,3,2,,2019,2021,PAK
521,['GS Ramchand '],1952-1960,33,53,5,1180,109,24.58,2,5,6,,1952,1960,IND
522,['MDKJ Perera '],2015-2021,22,41,3,1177,153,30.97,2,7,5,,2015,2021,SL
523,['KA Maharaj '],2016-2024,56,87,7,1173,84,14.66,0,5,17,,2016,2024,SA
524,['MTG Elliott '],1996-2004,21,36,1,1172,199,33.48,3,4,5,,1996,2004,AUS
525,['GO Jones '],2004-2006,34,53,4,1172,100,23.91,1,6,2,,2004,2006,ENG
526,['Rev.DS Sheppard '],1950-1963,22,33,2,1172,119,37.8,3,6,2,,1950,1963,ENG
527,['R Edwards '],1972-1975,20,32,3,1171,170,40.37,2,9,4,,1972,1975,AUS
528,['MJ North '],2009-2010,21,35,2,1171,128,35.48,5,4,5,,2009,2010,AUS
529,['PM Siddle '],2008-2019,67,94,15,1164,51,14.73,0,2,17,,2008,2019,AUS
530,['RW Taylor '],1971-1984,57,83,12,1156,97,16.28,0,3,10,,1971,1984,ENG
531,['BW Sinclair '],1963-1968,21,40,1,1148,138,29.43,3,3,5,,1963,1968,NZ
532,['JM Gregory '],1920-1928,24,34,3,1146,119,36.96,2,7,3,,1920,1928,AUS
533,['MG Vandort '],2001-2008,20,33,2,1144,140,36.9,4,4,3,,2001,2008,SL
534,['JA Raval '],2016-2020,24,39,1,1143,132,30.07,1,7,3,,2016,2020,NZ
