,Unnamed: 0,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_temp,day_of_year,year,pace_min,pace_min_sec
103,103,2,Afternoon Run,13.151,3944,4034,151.9,Run,Run,0.0,8665810931,2023-03-05 16:05:48+00:00,2023-03-05T16:05:48Z,(GMT+00:00) Europe/London,0.0,,,,13,1,0,1,0,False,False,False,False,everyone,False,,"[51.57945963554084, -0.09965169243514538]","[51.58720635809004, -0.10130619630217552]",3.334,5.862,,False,,,False,False,106.4,21.6,9302345682.0,9302345682.0,94b7cb5c-6622-485e-b990-a0d76994a536-activity.fit,False,2,0,False,32760347,1,a8665810931,oayyHb`S@dDJjABhBF^LDV?|Ai@hCg@zCA|AQ|Ab@|AdAv@J^Kx@s@lBw@HOJJZbB^X`@DfAMd@DvBCd@EJY?OBSVSlEa@~DVfB^J\AdCPPn@FdDGlCYxBFtBIXMxA_BRy@Gk@M]q@s@{CoEgAqAqAcC}BiDwAcCw@cAgCcEeAuAi@mAo@}@[W_@Cg@XyAtAIXGlAw@nBCR@d@TlBANq@~BOlA?pCG~@E`Ej@fBTlAFJJHv@NxBI`BRzBb@ZVBT?fAQdE?fAU^yC`C{C|DcBbDo@jBy@zAs@tBqAdF_ArFYpC]bBKz@GxAQhAIbB?xEUjJ?bBI`CKvAJbB?j@HZEd@Qn@?LCvCBjAG|DMjBSzAGdA]fD]~AGdBSlBIvACrDLfE?nCt@xJR`JSxKQ`Ee@tEq@jEs@pD{ArFo@~AOr@Cb@HfA@x@Gb@KFA^COKn@FjAEEMTm@rAUrAc@nAaB|Gk@hBW\WDEt@s@rBq@~AwAnEi@tBI@CI?PO_@Y_@w@UYR]IcAj@g@La@TYf@a@xBMjAJ|ACd@Ij@Wb@eA|@wAh@{@I{Ab@_ALcAOkDgB}@}AaAs@i@i@[s@eAwCWuA[_CE}DGq@SoAg@eAEm@@Qc@WeA?MUAi@F}BAwASiDo@mDmAwCoAyBaBwBgBgAiAe@_Am@c@k@aCaAoA}@EG?UTy@VyAEWm@oAq@m@[{@gBeBKYMaAQg@cAaAa@aAa@g@Sm@SgAAoCIY_@u@O{Ak@uDDCLNFSAUQaA?_@Lc@v@gAVCHKH[Fg@Cq@Os@eAwB[i@{BaF?MFQMo@_@wEDONCp@NPAVSTi@Jw@IwAHu@DK@]NQJg@FcAAm@Bk@KUaB}A[c@mAw@]a@AIFk@M_@S]mAgAi@sASyCA{AJo@Pu@\s@v@}@PKrAQjAN~Ap@x@v@ZAVO\u@ZoA\o@r@Yr@FJIPcA`@o@Dc@J_@rAcAH[?UEi@DOlCg@dBCf@L`AI\IX[l@KjAi@^@LHp@M@[OoAGsBQsBAg@Jo@@k@Ie@WW?KJQ@WCyCG}@UsAUq@k@oAkAmEK_ACoASg@@MNSA[k@sEc@sCIUE}Ag@}Gi@{DOmBOm@B@CGROM}@Bg@p@aBZm@h@q@JERDVWtA{@,2,,,,,64,2023,4.998352470027628,4:59
104,104,2,Lunch Run,21.3262,6148,6218,193.6,Run,Run,0.0,8625517276,2023-02-26 11:40:35+00:00,2023-02-26T11:40:35Z,(GMT+00:00) Europe/London,0.0,,,,46,0,0,1,0,False,False,False,False,everyone,False,,"[51.579489978030324, -0.09967239573597908]","[51.5806379634887, -0.10165806859731674]",3.469,6.798,,False,,,False,False,106.4,21.6,9259588551.0,9259588551.0,b493d1bc-4f69-4fa7-b588-0ef437bbcd76-activity.fit,False,14,0,False,32760347,1,a8625517276,wayyHh`SDlDXl@RdCNVbBs@|DYvGVxBjAd@DnEiB`@tBlAT|@g@nEAVqAZU~EU~BR|Bl@P\G`BD`@dAJzCFbBSfHA~AuAj@{AEg@Q]uCeDaLyPsAgCmCcEuCuDg@Y]@gBtAYlBu@vBNzC[dAc@lCQ`KFn@x@dDpA`@lB?dGn@Nd@AnA]jG{CrCcDtEuBxDgChGsA~EoCjP]rGAnEe@`LFbBQnCFdAM~FMj@OhD?lGg@nIaAvG[~HLdHv@dKPfJEbMcAvLyB`Ly@jCkAbDCXNn@@`Aq@fCE~Aq@jBsBvG{AfG_@Te@vBcB|DoBzGOIKc@m@a@uErAc@x@a@bCD~Cg@hBmCrBa@Fe@QmBd@sA@oEwBcA_BaByAiAeCOk@i@kEOuEO}@i@yAGiBISyAOM[B}@YkIo@yDi@eB_CwDaCuCkDgBsAqA_A[yCkBEY`@gAVoAo@wAw@o@e@kAcBsAa@}B{@q@oA{Bg@uBEwADy@i@iAAmBuAmHBYxAeD@u@uD{Hk@u@{@aCqAFcCjDc@jBW\e@?}@cAe@JuAtBWhAEt@Lv@dAjAt@rBv@Cj@aAd@kFC_@KYcBaB]Yi@T{@~BM|BPh@t@v@^`BVTv@Aj@qAXgFC]]u@gAiAC]P]GoA`@kAFwCJe@vAqBr@KXh@PItAx@\d@`DxGpDfIFx@En@}@vC`BmBXaANsAKuAuCuFyDeJ@y@LA|@n@XQXy@Fm@Eq@q@wCDWJGfB|CxAlBn@dBf@zBn@~G@xCKvDLzBBNHAFSTmBn@oCRcHM_DaAkGuAwE_B_DaCuCuGiGB{@]e@o@yBS{DDaAZeA|@kAh@_@hAKlAJlB|@fAzAbAvCn@bE`AjCv@lJv@lCdAvGVb@p@zEx@nCJvA`@xB@|BHp@~F|GrAfBd@^d@Cr@b@JClC{PVgDX}IUeTaAmJPgFEs@mA_Jy@qKe@kMTuBGc@[]J{AK_Ce@{DuBsFWgBF_BK]QBR]mAyI}@qLu@uFIcADi@OcARkApAgC\_@vK_F\BTx@Qb@_B~@iFhE_DSaAZSQC_@bAMfAmAbDmBzEsBn@IX`@Dh@GXsIlG_FFQIIe@`AWnAqAxJcFZAd@f@Bl@KX}CrCuCvBaALeBWwALQi@dAO`B_BnB_AjE{ChA]dAjBt@dIVN@zARzA`@s@nAMJ[nAk@NUzGmDdAiA`AEnFqB,2,,,,,57,2023,4.8047315821227725,4:48
105,105,2,Lunch Run,10.1135,3649,3863,142.2,Run,Run,0.0,8586888161,2023-02-19 11:30:29+00:00,2023-02-19T11:30:29Z,(GMT+00:00) Europe/London,0.0,,,,3,1,0,1,0,False,False,False,False,everyone,False,,"[51.579550076276064, -0.09956477209925652]","[51.57870928756893, -0.10014547035098076]",2.772,6.376,,False,,,False,False,101.1,21.4,9218685754.0,9218685754.0,123bd8cc-72da-4740-a144-47950d2abb29-activity.fit,False,0,0,False,32760347,1,a8586888161,gayyHv_SDh@?z@Ln@DdAChAAtABTBFf@I`Am@j@ERKV?lAOPH~@ItBD\JX?p@Ij@NnA`A|@@VKVWPWpAa@|@k@DFX|AHTPLp@PvEIj@INC@KAW@Md@Yz@E`@SvAId@KzAHdDZPJBRMjCEr@EnDaA~@w@bAs@f@W\MZSNUd@[\g@v@WXw@vAy@xBc@z@Wz@aAfCMNu@nCGf@W~@QpAe@dCWvBCf@Id@Iz@S`A_@tEBnDIdBAzBGb@@|AEb@Bb@?b@Cl@It@BdAIz@AdAD`B_@hBDVJNF^GB@x@AXIRCVBhAGb@Jd@B`@ARKd@Cl@OvAMlD@`@Eh@[rBK^OhAIpAKj@Al@Et@BrAKv@Et@@tALx@BjAArAEh@Hz@TdAAz@H^?`@RbC?~@LlB?|@AtADbBG~BFhBCtBc@xEE|Aa@fBG`AUtBo@fDe@xAKh@Q\WrAi@fAQr@It@H~@IrAKXa@j@D~@?n@yAnCY[I[Gw@OAZIBOWkAI{BQiAUcAWsBUu@CUKc@IoASs@KwAc@qB[eC[{Aq@yF}BuJEOIBHEAKk@gB]aBGi@O]CYQe@]}AMa@McAS{@AS@q@RaA?[Um@m@iCSg@YwAISa@_CU{@QYo@k@S]UsAOqBIUW_@Fe@FG?GEGJMAAFUz@_AXo@Ha@Xa@RQLWb@}AFI@?GDIb@I@POLWGEVa@Ji@BSGc@PPfAQr@o@@ACA@?De@JYFw@FYF_BC}@@}@AaBa@aDk@mDGgAQiAm@_GEOCw@Kk@SiCQkAOeBSaBCeAUsAn@Yl@g@b@SZYDSCSEIAgABYJ]@[Ck@@SHWTQn@MVSp@Fv@]FIAQHm@@OG[?ERWFi@jAg@dA{@PWC@D?Ha@^WpAsAAOE?CGEWOe@a@y@GUCc@wAwDCQ@Mb@WfAcAr@}@DQ?g@Qo@A_@?RDVJE@XHRb@]^G~@Bj@VzAbAz@nAL^h@|B@DH?bBkAb@QDOBUFK|Ak@LM|Ao@vB}AZM|@g@Ra@L{@@_BA}@BBJKBUMWI_A_AF]Eq@_@i@c@OSSi@Ka@M{@c@sAg@sFYs@Y_@K@oAj@}@x@G?YgAGi@c@kGOsCOu@u@CiANUV[NUGUDIC,2,,,,,50,2023,6.013414413078229,6:00
106,106,2,Evening Run,4.0432,1381,1392,54.9,Run,Run,0.0,8567562969,2023-02-15 20:16:08+00:00,2023-02-15T20:16:08Z,(GMT+00:00) Europe/London,0.0,,,,3,1,0,1,0,False,False,False,False,everyone,False,,"[51.579436752945185, -0.09965538047254086]","[51.578009063377976, -0.098812161013484]",2.928,5.632,,False,,,False,False,65.3,21.6,9197620457.0,9197620457.0,755fd528-2fa7-417e-a04d-a4723d38a6e3-activity.fit,False,1,0,False,32760347,1,a8567562969,iayyH``SFf@@j@JzABl@E\Fh@BrABVJ@DAd@Yb@Sv@OnAOd@AHBEAC@I^HFHJHp@?j@DTA??AJrANjA?TGPLXFx@EHMFa@f@{B~AKZAXRv@Tb@\bA`CzFr@bCd@jBHp@Z~AFr@JxAJl@?\J|@Bl@JxAD`@Hb@Bh@BPDDXC|@u@rAy@xAiAz@g@nByAn@_@FKB?AJQNADCC?LFC\UNUL_@X@NBNFd@^nAr@TJp@Nb@R^Tl@h@@AxBvCxAfCRl@B@BARo@Xo@H_@DMZ[Pa@Vu@LQTcAZ{@Je@Ri@Zk@`A}C@SC_@@[BQHUHYC[KQCKBYKUs@{@k@w@a@q@_AqAg@{@q@q@aAkASSUK[_@Ue@e@m@S_@MOa@}@{@u@MSSEMKg@m@GM@a@Fi@JWBQBcBA[GWIIMEQBMFI?KSGEoBDc@FO@UGa@QWUOe@u@eFEOO_@c@eBw@_BSi@UYCQe@qHOuAKuB@_A?RIMWJY?,2,,,,,46,2023,5.692685661522227,5:41
107,107,2,Evening Run,5.2444,1488,1528,60.1,Run,Run,0.0,8522619117,2023-02-07 19:23:47+00:00,2023-02-07T19:23:47Z,(GMT+00:00) Europe/London,0.0,,,,6,2,0,1,0,False,False,False,False,everyone,False,,"[51.579430885612965, -0.09965378791093826]","[51.580151561647654, -0.0991807971149683]",3.524,5.858,,False,,,False,False,65.8,20.7,9147648159.0,9147648159.0,272dc649-9f87-422d-a176-a8092c974972-activity.fit,False,3,0,False,32760347,1,a8522619117,uayyH~_SBxADb@?jAA\DrAFf@JVFBLAvB_AX?l@OTB`@CIF?HDJFDL`AJ^?f@L`BDhA@LHTCx@Dp@ILQHEFk@h@w@l@Y@KFK^?N`@bBn@vAH\Tf@V|@bApB|@~Cf@`Df@xEDp@ZlDVdD@PCPBNJNDLDtAFh@Nt@FTZv@`@x@d@\Vb@@Nn@nBF@l@m@|AsBl@k@l@a@|@u@\e@bBgBdA_AVSh@m@Jy@p@aBFKH?JBFGHSB@PTr@nAJLHFv@nAD@BGF@PF\dALRFATw@X}@|@wBt@iC|A}Dt@{Bp@_BV{@BOA@AFRUHQl@uAlAaCLQt@aBb@u@Z[d@y@l@u@`CsBVc@Zo@T[XWNGJGJ@FCd@o@d@gBj@}@Hi@FWXi@@G?IIUi@w@Sc@}@mA[w@W{@mAsBo@sAqAgCg@kAeAuAuAwBeBeC}@sAgAyA]_@g@aAcA{AgAkB]a@Wa@u@u@a@o@QOwAHs@b@e@VcBl@_A^sBdA_@Nc@Fk@TSB_@N]Xc@P_@Xe@PwAv@c@NiBNFA?Gq@JUE[L[@c@Na@FSCg@Hm@Nk@EiADm@?OB,2,,,,,38,2023,4.728853634352834,4:43
108,108,2,Lunch Run,12.1825,3397,3448,139.9,Run,Run,0.0,8503331393,2023-02-04 12:12:08+00:00,2023-02-04T12:12:08Z,(GMT+00:00) Europe/London,0.0,,,,38,0,0,1,0,False,False,False,False,everyone,False,,"[51.57949618063867, -0.09962369687855244]","[51.58729369752109, -0.10131709277629852]",3.586,5.752,,False,,,False,False,106.4,21.5,9126066542.0,9126066542.0,e840def3-7879-4b62-a1d1-0fd7cbf9f4ad-activity.fit,False,34,0,False,32760347,1,a8503331393,sayyH``SV|ID^FBb@ClBu@p@O~EG|DRjBrAp@Dp@]d@g@hAe@|@P`@hA\VXD~CYdBAHGLs@NWpAW|AObEXzB^HNFd@A`ASlCA~AE^qC`C}BdDq@dAiBrDyCfH[fAYzAg@`BeArGI~AWvAOtBGxAQdBEpAKpGIvA]bN?~IC~@KlAFhEE`COrCUlBWxAk@jGUpKBzCd@pERtD?pBNrIQlIUhC@r@C|@g@fEkAhHg@~BsAbEg@nBCZH`AMt@Ud@Id@AZBn@?^Mf@q@|AUlAgAdDi@hCq@`C_@z@OJIf@cBjEsCrIw@aA_@W[e@QEe@v@YTu@P_@XmAhCGTCvA?|@BJ@KBNQ|@Sn@m@z@c@Rk@j@WLk@C{C`@gAMoCuAaA}@{@wAuAkAa@w@g@qBOwAEgA@}GEu@i@yA_AoAK}@IKSEk@Li@VKAKSE_@?gAR}CAw@IeAo@}DeAeCkAsAo@eAo@w@]Ye@q@wA}@{BeAa@m@i@UcA{@cBs@GK?WJ_@d@sAV[Eg@IWOW_Ay@iAsAu@[i@g@GQMcAK]Q[{@_ASg@a@w@i@eBGm@AsAGaBOa@MsAs@kEUaAGo@@[DOn@y@Vo@Jc@@i@a@cAaAmBa@cAcAgB_@k@_AyByANWRm@fAQHMPc@tBQf@UXg@G{@}@[D[Ny@tAOd@OjA@v@DTZp@^VRZVlARZXLXGVUNYHg@DeBNgBA_@e@sAw@cAEGAQLi@Ea@?m@^gAJiCHg@jAiBXUh@BXd@FO`@@t@c@f@AZR^j@LZD@Cu@@YrAPPUP]Nq@@u@KiA{@cDO[u@aAa@[}@aACQUaBGoAB_AIe@PM@Wi@aAWgAW_@OkC?yBJg@Vm@V_@d@c@h@QxAMr@Dp@Hz@^`@l@RJf@E`@o@VcAPi@VY\SZGl@HVkAX_@VcA`@g@r@a@HOD_@G]AUHO|@]pAM`BE~@Dp@ELCf@[`Cy@b@Df@E@c@My@Cy@[qD@i@TeAB_@C][g@Fe@MgEGi@YkAa@u@a@eAmAcEKmADq@Ok@@INO?u@YeCw@{Em@eI_@oDy@iGDIBXDGFFDEIgABI`@kAn@w@^w@n@m@lAo@,2,,,,,35,2023,4.6473767015527745,4:38
109,109,2,Evening Run,5.1516,1543,1581,60.2,Run,Run,0.0,8489167143,2023-02-01 18:40:44+00:00,2023-02-01T18:40:44Z,(GMT+00:00) Europe/London,0.0,,,,7,1,0,1,0,False,False,False,False,everyone,False,,"[51.579451421275735, -0.09949042461812496]","[51.576820090413094, -0.09549728594720364]",3.339,5.566,,False,,,False,False,65.8,21.4,9110341023.0,9110341023.0,9637427c-a1b1-4cac-b320-4ab25a9b6379-activity.fit,False,1,0,False,32760347,1,a8489167143,kayyHh_SBfBAj@?TH^A|@PtA@f@FLFBTC~@o@nAe@^?JBRERBDDIh@Dn@E\@RNhAJ`BPr@?r@Fh@AJEH]\G@KNKDYTQROX[RIX?R^fAPv@r@vBhAjC\bAT`APd@^hBXjBTtBBd@ALl@|E\xD?hADHDRHbAANHp@Nd@nArCt@lBHDFCNLDFPt@F?n@aA`@eAT]v@e@l@g@f@WRWl@m@zCeCjAgATODg@F]h@sAXk@@?Z^tAzBTb@p@n@FBZ~@H@LM^{@`@wAJSl@oB\{@Lg@x@}Bl@wAZgAP[Re@f@}AFKPOLUF?H[~@mB|@uBNe@lAcCV}@NWdAsAlBuCjA}ANKV_@v@}@Vc@r@_BLe@LU@o@IOWGCIEOUi@i@oBe@mA]m@[u@]i@c@{@aByCYo@wAkBuAuBi@}@}@iAkBuCwAaBkCwDy@_Ao@mA[WaAKk@@y@X_A^SFc@Ta@NuDpB]LUFD@@CAB?CCCMES?s@XSB}@^}A~@SFMAs@RU@}@Pe@ReA?KBU@]AYKIKCIAS,2,,,,,32,2023,4.9919766027383075,4:59
110,110,2,Lunch Run,16.3127,4857,4918,163.6,Run,Run,0.0,8471048521,2023-01-29 11:28:36+00:00,2023-01-29T11:28:36Z,(GMT+00:00) Europe/London,0.0,,,,44,2,0,1,0,False,False,False,False,everyone,False,,"[51.57947254367173, -0.09959058836102486]","[51.587032433599234, -0.10124869644641876]",3.359,5.238,,False,,,False,False,106.4,21.5,9089137287.0,9089137287.0,07e7d40b-9ecc-4d61-9198-6e81da9b427b-activity.fit,False,15,0,False,32760347,1,a8471048521,uayyHt_SVdJD`@LJfCaA~Bc@pGFv@VlBvAz@CbAaA~@UhAu@VtARd@NPj@NfFQd@OHo@`@WjB[lCEjFx@L\A|Bl@b@h@Ad@U|ATtC]zFHd@W\m@Dc@j@k@L_@My@Wi@qGcKs@wAkCyDoGgK{CmEkCa@oAPmCpBoBdCO^Dd@\~@p@fAx@l@vA`@Ub@St@OhA]fI?rAhAfEjFCtAy@v@qA^iDGy@i@aBwAwB_@_AQEMRFxB?nAsAnGEp@Ll@t@`A`ATn@b@fC\A`DK^FfDEPYLkCdCiB|BcC`EuB|EwCbJa@pBkBpNMfCGtH_@tJ?~AM|E?xFObDKtHUfEaAhJe@lGK~CFfFb@pEXtFPpGFpDa@~N_@xE]zB_CzKiBrFCXBh@[bFLn@EV_@Xa@l@YbAGn@{DdMMTU@?`@RRA^kEjLIr@YJQVk@gA]Iu@w@aB`BsATONM~@@jBIrA]v@I~@a@pAwBvBa@Bc@]u@^oCPiAcAeBw@kAoBcBgAg@}@o@iBiAkFSkDFeBWiAu@oAB}@cA?i@Q@gDUuF{@uEeAcC}AkC}@s@q@aA_CwAeBw@[i@sAq@_Ay@]Ai@]?Up@iDAKm@cA_Aq@_@{@i@[q@w@IYYgBqAsASw@k@y@U{@OaADuBm@gAMgBc@iC]iAKcABi@Pk@lAyCA]Qi@gAkBaBmDkBqDkABk@r@iA~@g@zBe@dAa@Au@u@QCgAh@y@dBK~@@r@FZpAhB^zA\Xd@CVSRo@Hw@T}CEs@c@aAyA_BUEWR{@xAUlA@vAVf@t@x@b@fBXVVDb@Q\u@Hs@PmDC]i@uA}@uALm@E}A`@}@BuCFc@n@s@Pg@^]t@GRWd@t@j@a@REh@Hf@^lHtO|A{BRIhAvCd@x@RLLi@HiHOiB{AgJmAwDgBaC{BwBm@_@_BkBkF_FiBsCMc@@IZJtAz@b@FA_FFo@p@oBbA{@zBBxB|@dAv@n@IZe@VyAZq@v@q@~@?Xy@f@i@Hy@N_@hA{@Fg@E}@FMpCa@hE?fBm@|A{@l@F\Oe@yHPiCKe@SSFa@CqBIwBw@cEmAkC]yAQ}AFu@Qq@NQ@O{AyJsAoOq@wEFJDSMcAPcArAcCd@e@bBq@hAs@,2,,,,,29,2023,4.9623912657009575,4:57
111,111,2,Evening Run,5.0511,1565,1570,55.1,Run,Run,0.0,8456628649,2023-01-26 19:08:25+00:00,2023-01-26T19:08:25Z,(GMT+00:00) Europe/London,0.0,,,,2,2,0,1,0,False,False,False,False,everyone,False,,"[51.57948888838291, -0.09960358031094074]","[51.58007109537721, -0.09930132888257504]",3.228,6.564,,False,,,False,False,65.3,20.7,9073092568.0,9073092568.0,4f1f3acb-2946-42f3-92f4-5ecf73881c4e-activity.fit,False,0,0,False,32760347,1,a8456628649,{`yyH|_SH~BCh@LzCLh@FHX?j@SXCDGr@SN?v@KNEFH?ZF~@BHJNBJBhANrBBHEb@Dt@Qd@m@~@o@t@m@j@CTDJLFRl@`@|AVXZf@p@xBRlAj@nATz@JxBT|AAG@A@@BTDPThAHhAJdCDLXlBFj@Jb@@VCZBPH?JChAw@NSzAcAdA_Af@]d@a@h@]|@o@HOPWDATAVGXFnAp@XRXLfAZr@f@j@j@JDl@n@f@r@~@fARd@\fAT^AR@H@@DAJGXi@H_@Rc@HS@WLa@V]Jc@Te@N_APi@Zy@P}@d@{@x@wBf@eAPo@?KA@BCHS\c@ZWf@}@X[Zo@Vs@\a@Z_A^i@Rq@p@i@`@UHKFWRUx@a@TY\Yh@kA^c@HUd@c@D?RDJIV_Bf@_A`@mATSE[LYDUCa@i@gAK]Ym@K]Oa@W_@Qg@]a@e@aAm@aAKY[YGIUc@o@yAa@w@SSs@qAs@aA]_@Uc@m@o@iAwAa@y@Ye@UWQ[Q[OOe@{@WWUa@[_@cAcBe@c@QY]s@QSYe@OKeACi@Fm@VIVG?gA^cAf@OFYFcAh@i@RSNi@Z_@LYDMFa@VmAh@WV[NWFe@^o@XODUAUDo@BGBF?G@WCEEg@Nk@DsA\IAOIq@ISJU@AJCBY?e@L[BSAYF,2,,,,,26,2023,5.163891693558499,5:09
112,112,2,Lunch Run,7.109100000000001,1996,2006,72.4,Run,Run,0.0,8427565826,2023-01-21 12:51:57+00:00,2023-01-21T12:51:57Z,(GMT+00:00) Europe/London,0.0,,,,8,3,0,1,0,False,False,False,False,everyone,False,,"[51.579418145120144, -0.09956996887922287]","[51.57706635072827, -0.09866044856607914]",3.562,5.362,,False,,,False,False,51.4,21.5,9040902589.0,9040902589.0,883a80a8-e94f-433c-8a7a-54e38a433fd8-activity.fit,False,3,0,False,32760347,1,a8427565826,kayyHr_STlGBfBBNDDF?bAe@x@Yh@E`@IX?TE^AtCBXEz@?\Dl@Pj@^VV`@Xp@BLAHGZWR]p@Sr@Y`@IDNDFRBDDHd@JZHHPF\Dn@Ij@Cf@MXBfAA\DJI@G@c@HSFBROt@CXEXKPC`@A^@PAb@DVHb@Bn@Pp@@|@HPDHNBR?vBHL^LZ@r@Eb@Ff@@fAGlAOhB@`@Dp@E`@Df@EVEXa@JEFIFu@f@g@DMDUCa@GSMUUiAEOeA{A_A_B}BuCo@sAqAgBOOg@}@Qa@k@g@MQWi@g@}@}@kAQa@m@_AwBcDKKg@Om@Wk@M_@?_@FW?QDw@f@eAz@MTS~@OzAQhAC^?^BJVXlAd@VDJCDBBHO\Qn@Ml@MjACjACb@?NFOBd@UvDCjA@RN^`@`BTp@DBx@Aj@Jj@@dBLx@BXJx@Nj@FFBDJKjAEz@@FBF`AN|@Qx@Jn@Bl@AZGv@EpBHt@Gz@Bb@CPGNKPYRQHU?SDMj@YPOBKBSAYIc@OYa@m@uAeBUa@y@iAc@y@QOOGUOW[aAwAEMOKgADy@Gu@H_@L_@ZOHSBQ?ODQCIIKE_@?IBINEVAX@XNvAIb@KpAS~@W`@WVi@Re@F_@KOOUMSWEOCa@ZeBdAkE@m@OgBA]BSFQLELJVh@Pl@d@`Af@bBX|A@ZI^QfBO`@MRSTa@X]P_@JMA_@Ok@u@Ig@@UP{@ZgAl@qCFo@Ag@K}AG}AIm@o@sAGEQAw@LYHMHQPCFWx@S|AG|@IdHKdCAfCE\GLIFM?KCg@SYGs@a@c@c@_@u@]g@Ow@O_Aa@gEEcAGMi@}@ECUDeC|AQHCFFd@CDGEESAOEmBQyB,2,,,,,21,2023,4.6794484065024635,4:40
113,113,2,Afternoon Run,13.419,4197,4305,187.2,Run,Run,0.0,8390992613,2023-01-14 14:28:37+00:00,2023-01-14T14:28:37Z,(GMT+00:00) Europe/London,0.0,,,,31,2,0,1,0,False,False,False,False,everyone,False,,"[51.579401548951864, -0.09981857612729073]","[51.58064332790673, -0.10162948630750179]",3.197,4.974,,False,,,False,False,100.6,21.7,9000319510.0,9000319510.0,9de646f5-bf5f-4ac4-bbb6-78336e30d765-activity.fit,False,4,0,False,32760347,1,a8390992613,cbyyH`aS\tHFXLHtB_Az@BjF[b@LfCH|B~AXBb@GfAaAnBs@P\H~@Nl@LRZHhD[BURMlB@FKDu@TO`ABbBWjBDdFv@LVUhDMjDGRUBi@^mBpBa@`Ae@d@yAxBUh@YZo@vAeAzCq@zA[nAg@rAu@lCSzBBEWdA_@hCa@rB_@zFI|A?~@Qn@LvAUdG?hCQ|H@z@MrCH~@@bCUxIMpBmAxIe@xEH~@QhBGnC@h@HTHDEvC\lEDdBRbBAdANhCHvFIhB@tAQrCCbCq@tHg@|DO^Kz@o@lCmBfGWhA?f@Lf@Gx@O\OrDQLc@fA[`@MOUyBECc@VaARyB?Us@MqBa@}JEmDiCQc@Ri@jAA^Pl@i@zB?b@PtAC^[xAC~@O^@XGVWDOg@DHAGG@k@|AYGYFORI?q@Xw@d@@Xs@zDA\LhAz@nBJr@e@KeEuBq@Oc@Bw@`@oGlBiD?q@NgBH{AI]Y_@AGqAEqDSaCYqBgAiDuAaC{AuAq@}@sBqAmBy@m@w@_Aa@aCuACYn@oDCQq@oAs@_@Wg@Qi@aBoAGMGaAOm@s@i@s@}Ag@g@c@gBEcA?mAK[a@o@CgBS_AUgBWcAO}AfAqB^gA?]]eAiAmBmAsCcAgBk@sAk@g@SJ{@tAK@c@q@MgAEIGDMVEZGlGQn@SVW@i@Ui@m@i@BsAlBSxACl@Fb@b@p@\VNVVnATb@PHb@Kb@e@J_@FsBJaAAqA_@s@cAmAESJo@I}@j@yANcDz@iAj@kAr@GMKSkAVBLn@l@`AbA_@l@ARJp@lADIIq@DUhARNC`@y@Nw@GyAQgABEZCNr@n@x@N`@|@jAP^`AfD`@xDFLHCn@_Af@iAD_@iAaH_@aB]_AC[XcB`@mEVcBCoAUa@Cq@BqFFYb@w@]yDCeB?k@RqBVm@X]XmA|AiADa@Is@FYnFs@b@NrAGfA]t@k@v@[VZr@I@I[}DAyAKw@A[P}@B_@Uw@OQHY@eAIyC_@gBiB_F_@gBMyAD{@GWOQPa@EaAk@_E]}BEACSD[MyBWsBEDAu@UcCc@_DE{@IIAu@DKMeAZeAtAuBZo@dA[rBoAXINOD[AGLKdE_BRJFT\hF`@zEDPNB\bDv@q@j@WN@f@i@dAe@JWhD{AzDiCf@MNFjAg@xCs@,2,,,,,14,2023,5.2127580296594385,5:12
